"title","budget","revenue","roi_pct","multiplier"
Pink Flamingos,12000,6000000,49900.00000,500.0000
The Gallows,100000,42664410,42564.41000,426.6441
Open Water,130000,54667954,41952.27231,420.5227
The Texas Chain Saw Massacre,85000,30859000,36204.70588,363.0471
Night of the Living Dead,114000,30000000,26215.78947,263.1579
Mad Max,400000,100000000,24900.00000,250.0000
American Graffiti,777000,140000000,17918.01802,180.1802
Napoleon Dynamite,400000,46118097,11429.52425,115.2952
The Devil Inside,1000000,101758490,10075.84900,101.7585
The Big Parade,245000,22000000,8879.59184,89.7959
