"primary_genre","avg_roi","avg_rating","movie_count"
Horror,3614.500007083,6.1499999999999995,24
Thriller,988.106961600,5.974666666666665,75
Other,837.207791176,6.970588235294119,17
Romance,616.211443750,6.9625,8
Comedy,543.267214197,6.103380281690142,355
Drama,452.491994808,6.699705014749263,339
Adventure,366.740840714,6.42142857142857,42
Action,286.068836675,6.167036011080334,361
Family,278.878530000,6.266666666666666,9
Animation,148.720320000,6.5,1
Science Fiction,102.075871818,6.081818181818182,11
Fantasy,77.142860000,5.1,1
Crime,42.317000000,5.8,1
