"director","film_count","avg_roi","avg_rating"
Tobe Hooper,3,12395.822493333,6.566666666666666
George A. Romero,3,8848.963936666,6.533333333333334
Darren Aronofsky,4,2069.737167500,7.125
Steven Spielberg,7,1666.871192857,6.957142857142856
Michael Moore,3,1622.591456666,7.233333333333334
Jerry Zucker,3,1537.280723333,6.633333333333333
Mike Newell,3,1517.511230000,6.833333333333333
Quentin Tarantino,3,1399.674480000,8.0
Jason Reitman,3,1273.868796666,6.933333333333334
Robert Wise,3,1259.323213333,6.866666666666667
