"year","movie_count","avg_budget","avg_revenue","avg_rating"
1916,1,385907.0000,8394751.0000,7.4
1925,1,245000.0000,22000000.0000,7.0
1927,1,92620000.0000,650422.0000,8.0
1929,1,379000.0000,4358000.0000,5.0
1933,2,319500.0000,2240500.0000,5.6
1935,1,609000.0000,3202000.0000,7.4
1940,1,1288000.0000,6000000.0000,7.7
1947,1,2000000.0000,7800000.0000,6.8
1948,1,3700000.0000,2956000.0000,6.6
1951,1,8250000.0000,30000000.0000,7.0
1952,2,3270400.0000,21600000.0000,7.199999999999999
1953,1,1650000.0000,30500000.0000,7.2
1955,1,1200000.0000,7000000.0000,6.9
1957,1,3000000.0000,33300000.0000,7.7
1961,2,3500000.0000,9100000.0000,7.199999999999999
1962,2,7975000.0000,64797692.5000,7.35
1963,6,10533500.0000,44016460.8333,6.5
1964,2,380000.0000,13399834.0000,7.449999999999999
1965,2,6000000.0000,143114579.5000,6.800000000000001
1966,1,3900000.0000,28350000.0000,7.5
1967,1,9500000.0000,111584787.0000,6.5
1968,5,4853800.0000,27443085.2000,6.8
1969,2,7250000.0000,50987246.5000,6.5
1970,1,3000000.0000,18999718.0000,6.2
1971,3,5766666.6667,45613216.6667,7.266666666666667
1972,2,1006000.0000,12008145.0000,6.4
1973,3,2759000.0000,101592612.0000,6.833333333333333
1974,4,2821250.0000,63087750.0000,7.05
1976,5,8980000.0000,31219744.6000,7.3
1977,2,15500000.0000,97079336.5000,5.8
1978,3,8666666.6667,79681256.6667,7.133333333333333
1979,4,14162500.0000,80543662.0000,6.25
1980,9,14833333.3333,55011723.5556,6.322222222222221
1981,5,9650000.0000,92661509.4000,6.44
1982,7,11528571.4286,169527152.4286,7.014285714285713
1983,7,22007428.5714,83816992.8571,6.528571428571429
1984,6,15033333.3333,51188895.0000,6.466666666666666
1985,6,10293333.3333,86184598.6667,6.55
1986,7,17828571.4286,34530608.0000,5.9
1987,6,12750000.0000,94510631.8333,6.883333333333333
1988,11,11709090.9091,84933873.1818,6.163636363636363
1989,7,23080000.0000,84677744.2857,6.4
1990,13,30846153.8462,184101304.9231,6.846153846153845
1991,11,29772727.2727,126633284.2727,6.409090909090907
1992,10,17612553.8000,88718226.5000,6.7
1993,7,21300000.0000,199410766.1429,7.028571428571429
1994,18,29927777.7778,157469775.9444,6.616666666666666
1995,12,34666666.6667,97647437.4167,6.1000000000000005
1996,21,46522002.4286,122485927.2381,6.133333333333334
1997,34,46432352.9412,111734202.2647,6.529411764705882
1998,29,49290000.0000,112602675.6207,6.427586206896553
1999,39,35751282.0513,83989431.7436,6.135897435897437
2000,34,44120588.2353,98037867.4118,6.008823529411765
2001,53,45330498.0566,103981837.4151,6.169811320754718
2002,51,36665689.3922,89525172.0000,6.0549019607843135
2003,46,49130693.4348,152578435.7609,6.2565217391304335
2004,59,41409877.1186,82793406.1695,6.333898305084744
2005,61,44947540.9836,114445997.8852,6.332786885245902
2006,64,36147343.7500,79123976.1719,6.196875000000001
2007,45,42593333.3333,96227104.9778,6.313333333333332
2008,66,41304106.0606,110280417.6515,6.175757575757574
2009,64,46289549.8750,149750785.7031,6.3421875000000005
2010,73,41603187.4795,113034033.9315,6.247945205479452
2011,60,43202092.1833,112428215.9667,6.098333333333333
2012,54,45498095.4444,130735245.8704,6.22962962962963
2013,55,58266545.4545,144842393.8909,6.432727272727272
2014,53,45247169.8113,160476073.5849,6.332075471698111
2015,47,45444680.9149,181810360.1702,6.187234042553193
2016,28,61750000.0000,202010190.7500,6.078571428571428
