budget,genres,homepage,id,keywords,language,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,lead_actor_1,lead_actor_2,lead_actor_3,director,release_year
237000000,"Action, Adventure, Fantasy, Science Fiction",http://www.avatarmovie.com/,19995,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d",en,English,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment","United States of America, United Kingdom",12-10-2009,2787965087,162,"English, EspaÃ±ol",Released,Enter the World of Pandora.,Avatar,7.2,11800,Sam Worthington,Zoe Saldana,Sigourney Weaver,James Cameron,2009
260000000,"Action, Adventure, Science Fiction",http://movies.disney.com/john-carter,49529,"based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d",en,English,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,Walt Disney Pictures,United States of America,03-07-2012,284139100,132,English,Released,"Lost in our world, found in another.",John Carter,6.1,2124,Taylor Kitsch,Lynn Collins,Samantha Morton,Andrew Stanton,2012
250000000,"Adventure, Fantasy, Family",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",en,English,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"Warner Bros., Heyday Films","United Kingdom, United States of America",07-07-2009,933959197,153,English,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,Daniel Radcliffe,Rupert Grint,Emma Watson,David Yates,2009
255000000,"Action, Adventure, Western",http://disney.go.com/the-lone-ranger/,57201,"texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",en,English,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",United States of America,07-03-2013,89289910,149,English,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,Johnny Depp,Armie Hammer,William Fichtner,Gore Verbinski,2013
225000000,"Action, Adventure, Fantasy, Science Fiction",http://www.manofsteel.com/,49521,"saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",en,English,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films","United Kingdom, United States of America",06-12-2013,662845518,143,English,Released,You will believe that a man can fly.,Man of Steel,6.5,6359,Henry Cavill,Amy Adams,Michael Shannon,Zack Snyder,2013
250000000,"Action, Adventure, Fantasy",http://www.thehobbit.com/,122917,"corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",en,English,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,"WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",12-10-2014,956019788,144,English,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,2014
200000000,"Action, Adventure",http://www.robinhoodthemovie.com/,20662,"robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england",en,English,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media","United Kingdom, United States of America",05-12-2010,310669540,140,"English, ???????",Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,Russell Crowe,Cate Blanchett,Max von Sydow,Ridley Scott,2010
250000000,"Adventure, Fantasy",http://www.thehobbit.com/,57158,"elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",en,English,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,"WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",12-11-2013,958400000,161,English,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,2013
180000000,"Adventure, Fantasy",http://www.goldencompassmovie.com/index_german.html,2268,"england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",en,English,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,"New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions","United Kingdom, United States of America",12-04-2007,372234864,113,"Ãslenska, English, P??????, FranÃ§ais",Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,Dakota Blue Richards,Nicole Kidman,Daniel Craig,Chris Weitz,2007
209000000,"Thriller, Action, Adventure, Science Fiction",Unknown,44833,"fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri",en,English,Battleship,"When mankind beams a radio signal into space, a reply comes from ÂPlanet GÂ, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancÃ©e's father, Admiral Shane, expect of him.",64.928382,"Universal Pictures, Hasbro, Bluegrass Films, Film 44",United States of America,04-11-2012,303025485,131,"English, ???????",Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,Taylor Kitsch,Alexander SkarsgÃ¥rd,Rihanna,Peter Berg,2012
